Escenario,Sigma,SNR Antes,SNR Después,Mejora,MSE,RMSE
Ruido Bajo,0.5,41.55189355277902,49.337605619922215,7.785712067143194,0.04597655206055592,0.21442143563682228
Ruido Medio,2.0,29.510693726219777,39.95205815182179,10.44136442560201,0.39910865482619057,0.6317504687977609
Ruido Alto,5.0,21.551893552779028,32.20332018169621,10.651426628917186,2.3766484303137405,1.541638229389029
